"year","team_name","conference","division","Jersey","player_name","Yr","Pos","App","GS","ERA","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","KL","Ht","B/T","team_id","conference_id","player_id","player_url"
2025,"Albright","MAC Commonwealth",3,"29","Chris Valerio","So","P",3,0,8.1,3.1,2,3,3,6,3,0,18,10,0,0,0,0,1,1,0,0,0,1,0,66,5,1,1,0,0,1,"-","",597211,28744,8880184,"http://stats.ncaa.org/players/8880184?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"45","J.D. Graziano","So","",8,1,7.16,16.1,22,14,13,3,7,0,71,67,5,0,0,3,1,0,0,1,1,1,0,221,20,17,0,0,0,3,"-","",597211,28744,8886306,"http://stats.ncaa.org/players/8886306?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"9","Lucas Williams","Jr","p",7,4,6.08,23.2,20,19,16,8,14,0,111,89,1,2,0,5,2,11,1,1,0,3,0,326,25,29,1,4,1,6,"-","",597211,28744,8878200,"http://stats.ncaa.org/players/8878200?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"42","Tyler Boccelli","So","1B",3,0,0,3,0,0,0,0,3,0,9,9,0,0,0,0,0,0,0,0,0,0,0,29,5,1,0,0,0,0,"-","",597211,28744,8889929,"http://stats.ncaa.org/players/8889929?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"31","Sam Bilinsky","So","",1,0,0,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,"-","",597211,28744,8891485,"http://stats.ncaa.org/players/8891485?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"44","Lukas Netznik","So","P",3,0,10.13,5.1,7,6,6,2,7,0,25,22,1,0,1,1,2,0,0,3,3,0,1,11,4,4,0,0,0,1,"-","",597211,28744,8891644,"http://stats.ncaa.org/players/8891644?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"41","Patrick Ahearn","So","P",8,0,3.29,13.2,14,7,5,1,9,0,55,50,4,0,0,0,0,2,0,2,1,0,2,163,11,16,1,1,2,3,"-","",597211,28744,8891253,"http://stats.ncaa.org/players/8891253?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"26","Lukas Khandagle","Sr","P",6,0,11.81,5.1,7,8,7,7,3,0,31,23,3,0,1,0,1,1,0,2,1,0,0,75,6,5,0,0,0,0,"-","",597211,28744,8902070,"http://stats.ncaa.org/players/8902070?year_stat_category_id=15688"
2025,"Alfred","Empire 8",3,"21","Luke Dubben","Jr","P",5,0,18,5,14,16,10,2,5,0,37,31,3,3,0,0,4,3,0,0,0,0,1,100,5,5,0,0,0,4,"6-0","L/R",597360,863,9216361,"http://stats.ncaa.org/players/9216361?year_stat_category_id=15688"
2025,"Alfred","Empire 8",3,"10","Tyler Mulholland","So","1B",2,0,43.2,1.2,8,8,8,2,2,0,16,13,3,2,0,0,1,1,0,0,0,0,0,57,1,2,0,0,0,0,"6-0","L/L",597360,863,8874823,"http://stats.ncaa.org/players/8874823?year_stat_category_id=15688"
